Question,Answer
The language of the Pennsylvania Dutch is a dialect of what language?,German
What term avoids distinguishing between languages and dialects?,languoid
What is the most common way of referring to a language without making the determination of whether it's a dialect or independent language?,variety
"Along with variety and languoid, what is another term used for a language without determining its independent status?",lect
With what social class it the standard dialect commonly associated?,the elite class
"What social status is the term ""dialect"" sometimes associated with?",low
What is another term for language varieties?,dialects
What non-linguistic developments influence the status of a language?,historical and political
What dialect is the language Romansh similar to?,Lombardic alpine
What language are Mandarin and Cantonese sometimes considered dialects of?,Chinese
Why might Mandarin and Cantonese not be regarded as dialects?,mutual unintelligibility
What event is regarded as a landmark in the development of modern nationalism?,the French Revolution
"If possessing a language leads to a group being regarded as a separate people, what political arrangement presumably follows?",its own independent state
What political arrangement is associated with being a dialect-speaking sub-group?,regional autonomy
"Along with political controversy, what can the distinction between a language and dialect sometimes lead to?",armed conflict
Max Weinreich is a linguist of what language?,Yiddish
"What does ""A shprakh iz a dialekt mit an armey un flot"" mean in English?",A language is a dialect with an army and navy
"When did Max Weinrich write ""A shprakh iz a dialekt mit an armey un flot""?",1945
When is the term 'German dialects' used in regard to the German language?,traditional regional varieties
What are traditional region varieties of German distinguished from?,the regional varieties of modern standard German
After what entities are German dialects traditionally named?,Germanic tribes
In what geographic part of Germany are dialects more common?,South
In what geographic part of Germany are dialects less frequently seen?,Northern Germany
Dialects are more frequently seen in the countryside as compared to what population centers?,cities
In what environment are dialects less common?,public
In what environment are dialects more frequently heard?,familiar
What dialect of German is spoken in Switzerland?,Swiss German
What dialect of German is rarely heard in Switzerland?,standard German
"Aside from Switzerland, what country speaks a dialect related to Swiss German?",Liechtenstein
What type of language was Low German in the Middle Ages?,an ausbau language
Why are Low German varieties regarded as dialects of standard German?,they are roofed by standard German
What are Italian dialects termed in the Italian language?,dialetti
What language are many Italian dialects derived from?,Vulgar Latin
What does 'dialetti' mean in Italian?,dialects
Why might Italian dialects be regarded as independent languages rather than dialects of standard Italian?,they are not derived from modern standard Italian
What is a major reason why the Latin-based regional Romance languages of Italy should be regarded as independent languages rather than dialects of each other?,they lack mutual intelligibility
From what region of Italy does the Eastern Lombard dialect hail?,Lombardy
What language family does Eastern Lombard belong to?,Gallo-Italic
What type of language is Sicilian?,Neapolitan
What language was spoken by Lombard immigrants to Sicily?,Sicilian Gallo-Italic
What language is modern standard Italian derived from?,Florentine Tuscan
What language is Florentine Tuscan based on?,Latin
During what century did Florentine Tuscan begin to be used in poetry?,12th
What socioeconomic class used the Florentine Tuscan language in Dante's time?,upper class
From what region of Italy did Florentine Tuscan derive?,Tuscany
What Italian nationalist spoke of the importance of a national Italian language?,Alessandro Manzoni
During what period was the importance of having an Italian national language raised?,the Risorgimento
In what decade was Italy unified?,1860s
What percentage of Italians spoke standard Italian when Italy was first unified?,2.50%
"When Italy was unified, what was named the official national language?",standard Italian
During what war did a large number of Italian men first learn standard Italian?,World War I
"Along with radio and public education, what invention helped to diffuse standard Italian among the Italian population?",television
"In modern Italy, what class of people are regional languages sometimes associated with?",lower
"Along with formal settings, where do some Italians avoid speaking their regional language?",outside of one's region
"Aside from when they're speaking to Italians from their same town or region, where is a common place where Italians speak their regional language?",at home with family
Regional Italian dialects are often influenced by regional languages and what other language?,standard Italian
What language family do most of the languages of Italy belong to?,Italo-Dalmatian
What language are most languages of Italy derived from?,Latin
"Aside from Italo-Dalmatian, what is another term for the group that Italian languages belong to?",Romance
Campidanese Sardinian is a variant of what language?,The Sardinian language
What language is Sassarese closely related to?,Italian Tuscan
What language family does Gallurese belong to?,Italo-Dalmatian
What language family does Ligurian belong to?,Gallo-Romance
Where is the Catalan Algherese dialect spoken?,Sardinian
"Along with British English, what is the major variant of the English language?",American English
What are the two major variants of Serbo-Croatian?,Serbian and Croatian
"Are British and American English regarded as distinct languages, or dialects of a single language?",dialects of a single language
Do regional linguists treat Serbian and Croation as distinct languages or as dialects of a single language?,distinct languages
Why are Serbian and Croatian often treated like distinct languages?,the two countries oscillate from being brotherly to being bitter enemies
"Along with Serbian, with what language is Macedonian mutually intelligible?",Bulgarian
What dialect continuum does Macedonian belong to?,South Slavic
What do Bulgarian linguists regard the Macedonian language as?,a Bulgarian dialect
In what year was a Macedonian literary standard established?,1944
In what country is Macedonian most commonly spoken?,Republic of Macedonia
Lebanese people of what religion sometimes consider Lebanese to be a distinct language?,Christian
In what language are Lebanese laws written?,Arabic
"During the Lebanese Civil War, what language did Lebanese Christians sometimes use officially?",Lebanese Arabic
What language is Lebanese closely related to?,Arabic
What script did Lebanese Christians sometimes use to write Lebanese Arabic during the civil war?,Latin
"Along with Morocco and Tunisia, in what country are the Darijas spoken?",Algeria
What is the liturgical language of Islam?,Literary Arabic
In what language is the Qur'an written?,Literary Arabic
What does the term Dariajs refer to?,spoken North African languages
What is the dominant religion of North Africa?,Islam
During what century did the Russian government claim that Ukrainian was a Russian dialect?,19th
What Russian government claimed that Ukrainian was not a distinct language?,the Tsarist Government
The conquest of western Ukraine by what country altered the language of Ukraine?,Polish-Lithuanian Commonwealth
What nation conquered Ukraine during the First World War?,The German Empire
What alliance defeated the German Empire in World War I?,the Entente
What Ukrainian political group was involved in the defeat of the German Empire?,Bolsheviks
Who did the Ukrainian Bolsheviks conquer the Ukraine from?,Whites
After what war did Moscow begin to repress the Ukrainian language?,World War II
Why did Moscow begin to repress the Ukrainian language?,Ukrainian collaborationism with the Axis powers
Why did Ukrainians collaborate with the Axis?,to gain independence
In what country is the Surzhyk dialect spoken?,Ukraine
Surzhyk is a dialect intermediate between the Ukrainian language and what other language?,Russian
Who was the president of Moldova in 1996?,Mircea Snegur
In what year was a Moldovan-Romanian dictionary published?,2003
Fear of what caused the Moldovan parliament to reject changing the name of the country's language to Romanian in 1996?,Romanian expansionism
Who was the head of the Academy of Sciences of Moldova?,Ion BÄƒrbuÅ£Äƒ
From what did Chinese characters derive?,logograms
What is another name for the Yue language?,Cantonese
Hakka is a language from what geographic part of China?,the south
"From the time of the Ming dynasty, what city was the capital of China?",Beijing
At its founding. what was the official language of the Republic of China?,Standard Mandarin
"From the perspective of historical linguists, what are Romance languages dialects of?",Latin
What do many historical linguists consider modern Greek to be a dialect of?,Ancient Greek
From what language is North Germanic derived?,Old Norse
Tok Pisin might be regarded as a dialect of what language?,English
Italian is significantly mutually comprehensible with what other Romance language?,Spanish
With what romance language does Spanish not have a high degree of mutual comprehensibility?,French
What is the reason for French and Italian not being very mutually comprehensible?,French having undergone more rapid and more pervasive phonological change
"What Italian word is similar to the French word ""avoir""?",avere
"What French word is similar to the Italian word ""essere""?",Ãªtre
What two languages have the possibility for significant mutual intelligibility?,Italian and Spanish
"Along with foods and family relationships, what sorts of words are similar in French and Italian?",body parts
"When forming compound tenses in Spanish, what auxiliary is no longer used?",sere
What language could all Western languages be considered dialects of?,Interlingua
Researchers at what organization study and develop Interlingua?,International Auxiliary Language Association
What was the nationality of high school students who learned Interlingua in a notable linguistic experiment?,Swedish
"Along with Italian and Spanish, what language could Swedish Interlingua learners translate?",Portuguese
"Along with Standard Average European, from what concept was Interlingua derived?",the international scientific vocabulary
Where is Bern located? ,Switzerland
How many municiplaities are in Bern?,36
Bern is the capitol of which canton?,Canton of Bern
Where does Bern rank in population in Switzerland?,second
What is the official language of Bern?,German
Where is the UNESCO World Heritage Site?,centre of Bern
Where does Bern rank for top cities for the best quality of life?,top ten
When did the centre of Bern become the UNESCO World Heritage Site?,1983
What animal is on the seal and coat of arms of Bern?,bear
What live animals did they keep in the BÃ¤rengraben?,bears
What is the earliest that they kept live bears in the BÃ¤rengraben?,1440s.
When was the earliest evidnce of settlement in the city centre?,12th century
What era was there a Gallo-Roman vicus on the same site?,Roman era
What is the name of the Bern zinc tablet?,Brenodor
When was the settlement in Bumpliz close to the medieval city?,Early Middle Ages
The medieval city is a foundation of what family?,ZÃ¤hringer
When did the Zahringer ruling family rise to power?,12th century
Where did the Zahringer ruling family rise to power?,Upper Burgundy
What year was Bern founded?,1191
Who founded Bern?,"Berthold V, Duke of ZÃ¤hringen"
what year did Bern join the Swiss Confederacy?,1353
How many cantons were there between 1353 to 1481?,8
What year did Bern invade Aargau?,1415
What is the largest city-state north of the Alps?,Bern
What river was the city near?,River Aare
What was the name of the tower that was the western boundary?,Zytglogge
What tower took over after Zytglogge?,KÃ¤figturm
What did the big and small Schanze protect?,the whole area of the peninsula
What year was there a huge fire?,1405
What was destroyed in the fire?,the city's original wooden buildings
What year was Bern occupied by French troops?,1798
Why were French troops in Bern?,French Revolutionary Wars
When did Bern regain control of Bernese Oberland?,1802
What new territory was aquired in 1814?,Bernese Jura.
When did the canton of Jura seceed?,1979
What congresses were held in Bern?,First and Second Internationals
"In World War I, what side was Switzerland on?",Switzerland was neutral
What percent of the populatin of Bern resident foreigners?,30%
Where is Bern located?,the Swiss plateau in the Canton of Bern
What helped form the Bern countryside?,glaciers
What is the tallest mountain closests to Bern?,Bantiger
What peninsula is Bern located on?,Aare
What was built to help Bern grow bigger than the peninula?,bridges
What century did Bern outgrow the peninsula?,19th century
What type of ground was Bern built on?,uneven ground.
What is the elevation difference between the inner cities and the other cities?,several metres
"Which city is higher, Matte or Langgasse?",LÃ¤nggasse
What is 33.6% of the land in Bern?,forested
When was the last time the area of Bern was measured?,2009
How does the government of Bern operate?,as a collegiate authority.
How many councilors are there?,five
"Who is Bern's mayor, or Stadtprasident?",Alexander TschÃ¤ppÃ¤t
How after are the elections?,every four years.
Where is the executive body held?,in the Erlacherhof
Who has the majority of the seats in Bern's City Council?,left parties
What party also had the mayor as of 2015?,Social Democratic Party
What is the Christian Democratic Party also known as?,CVP
Who holds the legislative power?,The City Parliament
How many members are part of the City Parliament?,80
How often are elections held for the City Parliament?,every four years.
Are the sessions of City Parliament private or public?,public
Which party has the absolute majority of the seats?,left parties
How many seats are there?,46
Which specific party has the most members in the City Parliament?,Social Democratic Party
What is the population of Bern?,"140,634"
What percent of the population are resident foreign nationals?,34%
What was the population change from 2000 and 2010?,0.60%
What counted for more of the population change?,births and deaths
What is the main lanuage of Bern?,German
What is the second most common language?,Italian
What percent of the population speaks German?,81.20%
What did the city decide again?,having twinned cities
When did they have a temporary twinned city?,during the UEFA Euro 2008
What was the twinning city with Bern in 2008?,Salzburg
What country is Salzburg in?,Austrian
How many Swiss men live in Bern?,35.40%
What percent of the population is born somewhere else in Switzerland?,20.10%
What percent were born outside of Switzerland?,21.60%
What percent of the population are 19 years old and under?,15.10%
What percent of the population are between 20-64?,65%
What percent of the population are over 64 years old?,19.90%
What age group has most of the population included?,adults
How many people were single in Bern in 2000?,"59,948"
How many people were married in Bern in 2000?,"49,873"
How many people were widows or widowers in Bern in 2000?,"9,468"
Where there more married or single people in Bern in 2000?,single
What is the average of people per household in Bern?,1.8 persons
How many households have 5 or more people living in them?,"1,592"
What percentage of the apartment homes in Bern were occupied in 2000?,90.60%
What percent of apartments are seasonal apartments?,7.40%
What was the average price to rent an average apartment in Bern?,1108.92 Swiss francs
What was the vacancy rate for Bern in 2010?,0.45%
What percent of the population were Roman Catholic?,24.50%
How much of the population is Jewish in Bern?,0.25%
How many muslims were there in Bern in 2000?,"4,907"
How much of the population had no religion?,12.72%
The structure of Bern's city centre is mainly what type of buildings?,medieval
What does UNESCO recognised Bern's city center to be?,a Cultural World Heritage Site
What is Berns most famous site?,Zytglogge
What is the name of the 15th century cathedral?,MÃ¼nster
What type of cathedral is Muster?,Gothic
What is the Barengraben?,a bear pit
Where is the Barengraben located?,the far end of the NydeggbrÃ¼cke
What are held at the Barengraben?,heraldic animals
Who gave Bern their bears?,the Russian president
What zoo are the bears of Bern kept?,DÃ¤hlhÃ¶lzli zoo
Where is the national parliment housed?,The Federal Palace
What is the Federal Palace called?,Bundeshaus
Where is Albert Einstein live?,the Kramgasse 49
What was published the same years?,Annus Mirabilis Papers
What is the flat that Einstein called?,Einsteinhaus
What is the Rose Garden also known as?,Rosengarten
What can you see from the Rose Garden?,view of the medieval town centre
What was the Rosarium converted into?,a park
What year was the Rosarium converted?,1913
Where are the statues at in the Old Town?,public fountains
Who does the Kindlifresserbrunnen scare?,disobedient children.
Who created all the statues except the Zahringer fountain?,Hans Hiltbrand
What does the UNESCO consider the entre Old Town?,a UNESCO World Heritage Site
When was the biggest cathedral in Switzerland built?,1421
What is the largest Swiss Reformed church in Switzerland?,Holy Ghost Church
Who is attributed to the 11 fountains in Old Town?,Hans Gieng
What subtitles are included in the movies?,German and French subtitles
What year was the Football World Cup Final in Bern?,1954
Who won the game?,West Germany
What football team is based in Bern?,BSC Young Boys
What is the major hockey league team of Bern?,SC Bern
Where do they play?,PostFinance Arena
What year was the IIHF Ice Hockey World Championship held in Bern?,2009
What year did Bern want to host the Winter Olympics?,2010
What year did they withdraw their bid?,2002
Where were the 2010 Winter Olympics held?,"Vancouver, Canada"
What was Berns unemployment rate in 2010?,3.30%
How many businesses are there in the primary sector?,59
How many businesses are there in the secondary sector?,950
How many businesses are there in the tertiary sector?,"7,654"
How many full time jobs were there in 2008?,"125,037.00"
How many jobs in the primary sector were agrictulture?,184
How many jobs in the primary sector were in forestry or lumber production?,19
How many jobs are in the secondary sector?,"15,476"
How many jobs are in the tertiary secotr?,"109,358"
How many workers commute into the municipality?,"94,367"
How many workers had to commute away from the municipality?,"16,424"
How much of the working population uses public transportation?,50.60%
How many of the working population use private cars?,20.60%
Where are the majority of the buildings for the University of Bern?,LÃ¤nggasse quarter
What percent of the population has completed non-mandatory upper secondary education?,39.20%
What percent of the population has completed additionaly higher education?,18.90%
The majority of the population to finish tertiary schooling in bern are what people?,Swiss men
Do you have to go to the one year of kindergarten?,non
What seperates the children in secondary school?,ability and aptitude
How many students were attending school during the 2009-2010 school year?,"10,979"
How many kindergarten classes were there?,89
How many primary classes were there?,266
How many lower secondary classes were there?,151
How many libraries are in Bern?,8
How many pupils lived in another municipality?,"9,045"
How many pupils attended school outside of the city?,"1,185"
What connects Marzili to Bundeshaus?,A funicular railway
How long is the Marzilibah funicular?,106 m
What is the second shortest public railway in Europe?,Marzilibahn
What is the shortest public railway in Europe?,Zagreb funicular
What is the name of Bern's airport?,Bern Airport
What is the name of the regional airport?,Bern-Belp or Belpmoos
What is the formal name of Westminster Abbey?,the Collegiate Church of St Peter at Westminster
Where is Westminster Abbey located?,"City of Westminster, London"
When was Westminster Abbey a cathedral?,Between 1540 and 1556
What has been the status of Westminster Abbey since 1560?,"Church of England ""Royal Peculiar"""
What is the meaning of Thorn Ey?,Thorn Island
When was a church first founded at the site?,7th century
Who was Mellitus?,a Bishop of London
When was construction of the present church started?,1245
Who ordered the construction of the church?,King Henry III
Who were the first monarchs crowned at Westminster Abbey?,Harold Godwinson and William the Conqueror
Since when have coronations been held at Westminster Abbey?,1066
How many royal weddings have occurred at the abbey?,16
Which two reigning monarchs had weddings at the abbey?,Henry I and Richard II
When did royal weddings begin at the church?,1100
Who supposedly had a vison of Saint Peter on the River Thames?,Aldrich
Who first gifted salmon to the abbey?,Thames fishermen
Who still gives salmon to the abbey today?,Fishmonger's Company
When was the monk community installed?,960s or early 970s
Who rebuilt the abbey for a burial church?,King Edward the Confessor
What style was the church rebuilt in?,Romanesque
When was the building consecrated?,28 December 1065
When did King Edward the Confessor die?,5 January 1066
Who was the first documented coronation?,William the Conqueror
Where is the only existant depiction of Edward's abbey?,Bayeux Tapestry
What was the original size of Dunstan's original monk community?,a dozen
How was the community able to increase?,endowments
What is adjacent the abbey?,Palace of Westminster
Who became a powerful force after the Norman Conquest?,The abbot and monks
The Palace of Westminster was the seat of what from the later 12th century?,government
Who was employed on royal service?,The abbot
With what kind of life were the Benedictines allowed to identify?,secular
To what movement was the task of spiritual leadership passed?,Cluniac
What did the abbot remain as a town built around the abbey?,Lord of the Manor of Westminster
What did the monastery help fuel?,the town economy
What did the abbey build on the west side?,shops and dwellings
What encroached upon the sanctuary?,shops and dwellings
What was the abbey to Norman kings?,coronation site
What architect continued work on the abbey?,Henry Yevele
Who was reigning when Henry Yevele finished his work on the abbey?,Richard II
What kind of pavement was commissioned for in front of the High Altar?,Cosmati
What played a large role in King Edward the Confessor's canonisation?,The Confessor's shrine
Who added a Perpendicular style chapel?,Henry VII
Who was the Perpendicular style chapel dedicated to?,Blessed Virgin Mary
What part of France did the Caen stone come from?,Caen
Where did the Portland stone come from?,Isle of Portland
When was the Lady Chapel added?,1503
When was the abbey's annual income Â£2400â€“2800?,1535
What was the abbey's annual income as of 2016?,"Â£1,310,000 to Â£1,530,000"
To which other abbey was Westminster Abbey second in wealth?,Glastonbury Abbey
During what was the abbey made second in wealth?,the assessment attendant on the Dissolution of the Monasteries
When did Henry VIII take direct royal control?,1539
Who gave the abbey status of a cathedral in 1540?,Henry VIII
What did the cathedral status save the abbey from?,destruction
What did changing the status of the abbey create?,the Diocese of Westminster
When was Westminster Diocese dissolved?,1550
The abbey was recognised as what until 1556?,a second cathedral of the Diocese of London
Who is the abbey dedicated to?,Saint Peter
The abbey was regiven to the Benedictines under whom?,Mary I of England
Who ejected the Benedictines again in 1559?,Elizabeth I
What was the new name of the abbey when Elizabeth I reestablished it?,Collegiate Church of St Peter
Who was made the first dean of the new church?,The last of Mary's abbots
When did the abbey suffer damage?,1640s
Who attacked the abbey?,Puritan iconoclasts
What protected the abbey?,ties to the state during the Commonwealth
Who had a fancy funeral at the abbey in 1658?,Oliver Cromwell
When was Oliver Cromwell disinterred?,January 1661
When were the western towers built?,between 1722 and 1745
Who built the western towers of the abbey?,Nicholas Hawksmoor
What kind of marble was used for the walls and floors of the abbey?,Purbeck
Under whom did the 19th century rebulding occur?,Sir George Gilbert Scott
What were the two western towers built from?,Portland stone
What was designed for the west front of the abbey but not built?,A narthex
When was the narthex designed?,mid-20th century
The abbey was without towers following the renovation by whom?,Yevele
Westminster Abbey was the third highest place of learning after which two places?,Oxford and Cambridge
The first third of what was translated at the abbey?,King James Bible Old Testament
The last half of what was also translated at the abbey?,New Testament
The New English Bible was composed at the abbey during what time?,20th century
Westminster Abbey suffered damage during what on 15 November 1940?,the Blitz
Who painted the icons hung in the abbey in the 1990s?,Sergei Fyodorov
What was held at the abbey on 6 September 1997?,"funeral of Diana, Princess of Wales"
Who was the first pope to set foot in the abbey?,Pope Benedict XVI
On what date did the first pope set foot in the abbey?,17-Sep-10
What nationality was Sergei Fyodorov?,Russian
Where was Henry III crowned?,Gloucester Cathedral
When was Henry III crowned?,1216
Who had taken control of London when Henry III was to be crowned?,French prince Louis
Who deemed Henry III's coronation to be improper?,the Pope
Who is the usual cleric for coronation ceremonies?,The Archbishop of Canterbury
What is the name of the throne used for coronation?,King Edward's Chair
What is another name for King Edward's Chair?,St Edward's Chair
Upon what are kings of Scots coronated?,the Stone of Scone
Who had stolen the Stone of Scone?,Scottish nationalists
What kind of church is Westminster Abbey?,collegiate church
Who created Westminster Abbey as the Collegiate Church of St Peter Westminster?,Queen Elizabeth I
Who governs the church?,the Dean and Chapter of Westminster
Who are the members of the chapter of Westminster?,the Dean and four canons residentiary
Who assist the chapter of Westminster?,the Receiver General and Chapter Clerk
How many lay vicars are there?,12
How many choristers are there at the abbey?,10
When was the office of Priest Vicar created?,1970s
Henry III rebuilt the abbey in honour of whom?,Edward the Confessor
When did George II of Great Britain die?,1760
Who was Edward the Confessor?,a royal saint
Where was Henry VI buried?,St George's Chapel at Windsor Castle
Where was Richard III buried?,Leicester Cathedral
Where were aristocrats buried from the Middle Ages?,inside chapels
Geoffrey Chaucer was employed as what?,master of the King's Works
Henry Purcell was buried where?,in the abbey
Oliver Cromwell began buring national figures in the abbey starting with whom?,Admiral Robert Blake
Who was buried in the abbey on 4 April 1727?,Isaac Newton
Who was buried in the abbey on 26 April 1882?,Charles Darwin
Who was buried in the abbey on 3 August 1833?,William Wilberforce
Who was buried next to William Wilberforce?,William Pitt
In the early 20th century it became more common to bury what kind of remains?,cremated
In what year was Sir Henry Irving cremated?,1905
Who was buried in the south choir aisle in 2014?,Frances Challen
What family has the Northumberland Vault?,Percy Family
When was The Unknown Warrior buried?,11-Nov-20
Where is the memorial chapel of the airmen of the RAF?,At the east end of the Lady Chapel
The memorial chapel of the airmen of the RAF has a window for what?,the Battle of Britain
The window for the Battle of Britain replaced what that was destroyed?,Tudor stained glass window
"When was the formal funeral of Diana, Princess of Wales?","Saturday September 6, 1997"
When was a second public service held for Princess Diana?,Sunday
Who designed Diana's dress?,Catherine Walker
Who gave Diana the rosary beads?,Mother Teresa
What are also in the precincts of Westminster Abbey?,Westminster School and Westminster Abbey Choir School
Who required the Benedictine monks to maintain a charity school?,the Pope
When were the Benedictine monks required to maintain a charity school?,1179
The choirboys of the abbey are trained where?,Westminster Abbey Choir School
Who built the organ?,Harrison & Harrison
When was the organ built? ,1937
When was the organ first used?,the coronation of King George VI
What was included in the new organ from the previous Hill organ of 1848?,pipework
Who designed the two organ cases?,John Loughborough Pearson
What part of the organ is not connected or playable?,the Celestial Organ
When were the bells overhauled?,1971
How many bells make up the abbey ring?,Ten
When were the ten bells cast?,1971
Who cast the abbey bells?,Whitechapel Bell Foundry
Who cast the two service bells?,Robert Mot
When were the two service bells cast?,1585 and 1598
When was the Sanctus bell cast?,1738
Who cast the Sanctus bell?,Richard Phelps and Thomas Lester
"Where is the ""dish bell"" kept?",in the refectory
Under whom was the chapter house built?,Henry III
Who restored the chapter house in 1872?,Sir George Gilbert Scott
What style is the octagonal chapter house?,Geometrical Gothic style
There is an octagonal what below the chapter house?,crypt
What kind of ceiling is in the chapter house?,vaulted
What kind of windows are in the chapter house?,4-light quatre-foiled windows
The architecture of the chapter house is contemporary with what?,"the Sainte-Chapelle, Paris"
What kind of tiled pavement is in the chapter house?,mid-13th-century
A door in the vestible dates back to when?,1050
When were the exterior flying buttresses added?,the 14th century
Who else met in the chapter house?,King's Great Council and the Commons
What formed the undercroft of the monks' dormitory?,The Pyx Chamber
When does the Pyx Chamber date to?,the late 11th century
When were newly minted coins presented to ensure they met standards?,the Trial of the Pyx
The Pyx Chamber and chapter house are under guardianship of whom?,English Heritage
Who cares for and manages the Pyx Chamber and chapter house?,the Dean and Chapter of Westminster
English Heritage has funded what for the chapter house?,repairs
What is located in the vaulted undercroft beneath the monks' dormitory?,The Westminster Abbey Museum
The area the museum occupies dates back to when?,1065
The vaulted undercroft beneath the monks' dormitory has been a museum since when?,1908
What belonging to Henry V is in the museum?,"funeral saddle, helm and shield"
What kind of panels are in the museum?,panels of mediaeval glass
Who modelled the effigies in the museum?,sculptor Patience Wright
What are the effigies made of?,wax
What is the effigy of Viscount Nelson wearing?,some of his own clothes
What was recently added to the museum exhibit?,13th-century Westminster Retable
What is the Westminster Retable?,England's oldest altarpiece
What was the altarpiece designed for?,high altar of the abbey
What was damaged but cleaned and then conserved?,altarpiece
What was proposed for the abbey in June 2009?,major building work
On what date did the Dean and Chapter announce that work would not be continued?,04-Aug-10
Panter Hudspith refurbished a 14th-century foodstore into what?,a restaurant
What kind of furniture is in the restaurant?,English Oak
Who supplied the furniture for the restaurant?,Luke Hughes and Company
What will be created in the medieval triforium?,The Queen's Diamond Jubilee Galleries
What has been designed to help with the gallery?,Gothic access tower with lift
When will the new galleries open?,2018
What is it called when government officials use their power for private gain?,Political corruption
"One form of corruption involves the hiring of family members, which is called what?",nepotism
"Another form of corruption, the practice of usury, is called what?",gombeenism
"Three forms of corruption that can promote criminal activities include drugs, money laundering, and what?",human trafficking
The repression of what is also considered political corruption?,political opponents
"Which crime costs over one trillion U.S. dollars every year, world-wide?",bribery
What does kleptocracy mean?,rule by thieves
What are some forms of corruption now  called?,institutional corruption
Institutional corruption is distinguished from what type of corruption?,bribery
This type of problem happens in any organization where the interests of the people who financially support it conflicts with what?,the primary purpose of the institution
What does corruption undermine in politics?,democracy
What does corruption disregard in politics?,formal processes
"Political corruption in legislature reduces what, overall?",accountability
Corruption in what compromises the rule of law?,judiciary
Corruption in what creates weak provision of services?,public administration
What two democratic values are soiled due to corruption?,trust and tolerance
Corruption disintegrates government capacity when public offices are what?,bought and sold
The level of corruption can vary in richer democracies in regards to the what of those officials making decisions?,accountability
Corruption raises the cost of business because of illegal payments in what sector?,private
Some people feel that corruption actually reduces costs because it cuts what?,bureaucracy
What process is better than allowing bribes to remain in place?,Openly removing costly and lengthy regulations
Corruption changes the playing field by allowing businesses with connections to be shielded by what?,competition
Economic distortion is created by corruption in the public sector by diverting what into capital projects?,public investment
What is more plentiful in capital projects?,bribes and kickbacks
Corruption can lower what with environmental regulations?,compliance
African dictators often have what kind of bank accounts?,Swiss
What form has corruption taken in Africa?,rent extraction
"In Africa, the finances are often moved where?",overseas
Which researchers studied corruption from Sub-Saharan countries from 1970 to 1996?,University of Massachusetts Amherst
The 187 billion exceeded what in these countries?,external debts
What was one of the factors for this behavior in Africa?,political instability
Where is corruption most noticeable?,countries with the smallest per capita incomes
These countries rely on foreign aid for what?,health services
"In Sub-Saharan African countries, what level of government is corruption especially prevalent at?",Local
Which report described this corruption? ,the 2006 World Bank Report
How many funds did not reach their intended recipients who needed medical attention?,about half
What kind of employees received payments?,ghost employees
Where were drugs siphoned off to?,the black market
"In addition to ghost employees and the black market receiving drugs, what other way was money expended?",counterfeit drugs
"If local corruption did not exist, there would be enough what to help the people in these countries needing medical help?",money
Corruption aids what as far as the environment is concerned?,environmental destruction
Formal legislation cannot be regulated when officials are what?,bribed
"Bribes also halt unions, the protection of children in labor, and what?",social rights worker protection
"When these laws are broken, corrupt countries gain what in the international market?",illegitimate economic advantage
Who has stated that apolitical food problems do not exist?,Amartya Sen
What can trigger famine conditions?,drought
"While natural occurrences can cause famine, what determines the severity of it?",government action or inaction
"Even if a harvest is good, food security can be crippled when a government has tendencies toward what?",kleptocracy
"Along with food aid, what is most at risk in these countries?",construction
How is food aid usually directly redirected from the people it should go to?,physically diverted
Food aid can also be indirectly diverted from its intended recipients through the manipulation of what?,assessments
Substandard what is often one way for corruption to enter the construction field?,workmanship
What happens with contracts to aid corruption?,kickbacks
Recipients of aid are concerned about what?,exclusion
"Those receiving aid may have connections, pay bribes or what?",forced to give sexual favors
Corrupt people may manipulate what to receive more assistance?,statistics
These types of corruption can harm what?,the public health
"Along with institutions, this type of corruption can discredit what?",social relationships
Corruption can determine certain things in what kind of activities?,sports
Medical staff can affect what aspect of sports?,anti-doping controls
The difference between corruption that is public or private looks like what?,artificial
What needs to stay away from loopholes?,national anti-corruption initiatives
What do you call paying government officials to use their position in their office?,a bribe
What is the minimum amount of people that can be involved in a bribe?,two
What is it called when corruption is part of all public life?,culture of corruption
"Beyond getting money, bribes are also used to cause what to others?",harm
What two types of bribery is the international community trying to get prosecuted as separate?,active and passive bribery
In some countries there is no formal deal but what that makes prosecuting bribes difficult?,mutual understanding
"A bribe can include requesting, offering, giving or what of favors or money?",accepting
Bribes can be direct or what?,indirect
Selling or trading government position influence is called what?,influence peddling
Selling influence can involve third-parties and this is called what type of relation?,tri-lateral
In some situations the third-party in an influence peddling crime may be not involved or may be what?,an accessory
"Where lobbying is controlled, what does it provide for consideration to determine improper influencing?",distinctive criteria
What article of the Criminal Law Convention on Corruption contains distinctive criteria to determine improper influence?,article 12
Giving government jobs to supporters is called what?,Patronage
What country quickly changes most people working in government position when a new government comes into power?,Romania
What is it called when relatives are favored over other people?,nepotism
What is it called when friends are favored over other people?,cronyism
"Cronyism is also when people are selected from a closed and exclusive social network, which is called what?",old boy network
Corruption also occurs when an official wants to cause some form of harm to who?,enemies
False charges can be brought against a journalist who writes about what?,politically sensitive issues
What is it called when a person is dishonest or corrupt for his own gain?,Gombeenism
Parish pump politics is also called what?,parochialism
"Which crisis in Ireland involved bribery, cronyism and collusion?",Irish Banking crisis
Politicians who were at the end of their political careers were offered what kind of position with companies they were involved with politically?,senior management or committee position
Illegal interference with an election is called what?,Electoral fraud
